TS;2/2;;
Grp;0.0;;
Bar;0;[0.0, 0.25, 0.5];[67, 65, 65]
Bar;0  2;[1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[69, 71, 73, 74, 76, 77]
Bar;0;[0.0, 0.75, 1.0];[76, 74, 74]
Grp;0.0;;
Bar;0  2;[1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[74, 74, 72, 70, 69, 67]
Bar;0  3;[0.0, 1.0, 1.5, 2.0, 3.0];[70, 69, 69, 69, 67]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0];[65, 69, 67, 67, 62]
Bar;0  1;[0.0, 1.0, 1.5, 2.0];[65, 69, 69, 69]
Grp;0.0;;
Bar;0  2;[];[]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[74, 76, 77, 76, 74]
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[76, 74, 72, 74]
Bar;0;[0.0];[69]
Grp;0.0;;
Bar;0  2;[];[]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[74, 76, 77, 76, 74]
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[76, 74, 72, 76]
Bar;0;[0.0, 1.0, 2.0, 3.0];[77, 72, 70, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0];[67, 65, 65]
Bar;0  2;[1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[69, 71, 73, 74, 76, 77]
Bar;0;[0.0, 0.75, 1.0];[76, 74, 74]
Grp;0.0;;
Bar;0  2;[1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[74, 74, 72, 70, 69, 67]
Bar;0  2  3;[0.0, 1.0, 1.5, 2.0, 3.0];[70, 69, 69, 69, 67]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0];[65, 69, 67, 67, 62]
Bar;0  1;[0.0, 1.0, 1.5, 2.0];[65, 69, 69, 69]
Bar;2;[0.0, 1.0, 2.0, 3.0];[65, 69, 67, 62]
Bar;0  1;[0.0, 1.0, 1.5, 2.0];[65, 69, 69, 69]