TS;2/4;;
Bar;0;[0.0, 0.25, 0.75, 1.0, 1.5];[65, 64, 65, 67, 68]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.75];[70, 68, 70, 72, 68]
Bar;;[0.0, 0.75, 1.0, 1.25, 1.75];[70, 68, 70, 72, 67]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.75];[68, 67, 68, 70, 67]
Bar;;[0.0, 0.75, 1.0, 1.25, 1.75];[68, 67, 68, 70, 66]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.75];[67, 66, 67, 68, 66]
Bar;;[0.0, 0.75, 1.0, 1.5, 1.75];[67, 65, 64, 65, 67]
Bar;0;[0.0, 0.5, 0.75, 1.0];[65, 67, 65, 72]
Bar;;[0.0];[65]
Bar;0;[0.5, 1.0, 1.5];[77, 76, 75]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[73, 72, 70, 73, 72, 70]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[73, 72, 70, 73, 72, 70]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[72, 70, 68, 72, 70, 68]
Bar;;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[72, 70, 68, 72, 70, 68]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[70, 68, 67, 70, 68, 67]
Bar;;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[70, 68, 67, 70, 68, 67]
Bar;0;[0.0, 0.5, 1.25, 1.5];[68, 72, 71, 72]
Bar;;[0.0];[65]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[77, 79, 77, 79, 77, 79]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5];[77, 79, 77, 79, 77]
Bar;;[0.25, 0.5, 0.75, 1.0, 1.5];[79, 77, 79, 77, 79]
Bar;0;[0.0, 1.0];[77, 75]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[76, 72, 73, 75, 73, 72]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[73, 72, 75, 73, 72, 73]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[72, 70, 73, 72, 70, 72]
Bar;0;[0.0, 1.0];[70, 68]
Bar;0  1;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[72, 70, 68, 67, 70, 68]
Bar;0;[0.0];[65]